"Season","Daynum","Wteam","Wscore","Wloc","Numot","Wfgm","Wfga","Wfgm3","Wfga3","Wftm","Wfta","Wor","Wdr","Wast","Wto","Wstl","Wblk","Wpf","win"
2003,134,1421,92,"N",1,32,69,11,29,17,26,14,30,17,12,5,3,22,1
2003,136,1112,80,"N",0,31,66,7,23,11,14,11,36,22,16,10,7,8,1
2003,136,1113,84,"N",0,31,59,6,14,16,22,10,27,18,9,7,4,19,1
2003,136,1141,79,"N",0,29,53,3,7,18,25,11,20,15,18,13,1,19,1
2003,136,1143,76,"N",1,27,64,7,20,15,23,18,20,17,13,8,2,14,1
2003,136,1163,58,"N",0,17,52,4,14,20,27,12,29,8,14,3,8,16,1
2003,136,1181,67,"N",0,19,54,4,13,25,31,13,27,4,16,10,8,23,1
2003,136,1211,74,"N",0,20,47,6,14,28,37,8,28,12,12,2,2,15,1
2003,136,1228,65,"N",0,24,56,5,14,12,14,15,23,15,14,11,4,14,1
2003,136,1242,64,"N",0,28,51,2,6,6,11,7,20,13,11,8,4,17,1
2003,136,1266,72,"N",0,22,51,9,16,19,23,11,20,14,10,4,3,23,1
2003,136,1281,72,"N",0,28,52,5,13,11,18,9,32,7,23,4,6,19,1
2003,136,1323,70,"N",0,23,54,3,13,21,25,11,33,7,20,6,6,19,1
2003,136,1328,71,"N",0,24,52,10,18,13,24,11,24,16,14,8,3,12,1
2003,136,1390,77,"N",0,29,64,8,24,11,15,12,29,16,14,4,8,24,1
2003,136,1409,84,"N",0,33,57,8,12,10,13,8,26,18,12,6,1,11,1
2003,136,1458,81,"N",0,31,58,6,16,13,22,10,24,16,9,7,2,16,1
2003,137,1120,65,"N",1,25,57,7,18,8,13,14,24,11,15,4,5,16,1
2003,137,1139,47,"N",0,18,47,5,18,6,8,7,19,5,8,3,0,15,1
2003,137,1196,85,"N",0,32,61,13,28,8,14,9,31,24,10,6,3,15,1
2003,137,1231,67,"N",0,19,49,7,18,22,26,13,22,15,8,1,2,17,1
2003,137,1246,95,"N",0,40,65,10,20,5,11,10,25,22,13,7,4,17,1
2003,137,1257,86,"N",0,35,70,8,24,8,13,15,29,18,12,12,4,22,1
2003,137,1268,75,"N",0,27,54,10,19,11,15,8,27,17,13,3,3,20,1
2003,137,1277,79,"N",0,26,56,7,13,20,25,10,28,16,11,5,1,18,1
2003,137,1329,77,"N",0,27,50,7,20,16,28,10,15,15,11,12,0,17,1
2003,137,1338,87,"N",0,33,59,9,16,12,21,10,23,22,9,14,6,19,1
2003,137,1345,80,"N",0,27,52,9,16,17,19,8,25,7,19,9,1,18,1
2003,137,1393,76,"N",0,30,52,4,11,12,15,11,28,16,18,5,9,17,1
2003,137,1400,82,"N",0,31,62,6,16,14,20,19,28,15,14,6,2,16,1
2003,137,1428,60,"N",0,18,61,9,23,15,18,13,23,8,15,7,4,22,1
2003,137,1448,76,"N",0,29,69,6,23,12,20,19,29,13,19,8,9,19,1
2003,137,1462,71,"N",0,26,64,6,20,13,18,17,30,19,10,5,4,11,1
2003,138,1112,96,"N",2,34,74,7,24,21,29,18,29,18,9,7,4,20,1
2003,138,1163,85,"N",0,31,68,6,10,17,21,17,26,12,9,4,1,13,1
2003,138,1181,86,"N",0,32,52,10,15,12,16,4,23,14,11,15,9,18,1
2003,138,1242,108,"N",0,40,59,5,9,23,34,12,28,21,13,6,6,20,1
2003,138,1266,101,"N",1,35,62,12,18,19,20,8,25,18,12,6,0,20,1
2003,138,1323,68,"N",0,25,61,13,24,5,5,5,32,12,11,5,4,13,1
2003,138,1328,74,"N",0,26,51,7,13,15,24,13,23,16,12,2,2,15,1
2003,138,1458,61,"N",0,22,57,6,22,11,17,10,22,12,5,5,3,11,1
2003,139,1120,68,"N",0,24,56,4,19,16,20,12,21,11,14,9,6,18,1
2003,139,1139,79,"N",0,27,52,14,22,11,19,10,18,21,12,6,2,11,1
2003,139,1246,74,"N",0,26,55,4,13,18,18,13,22,11,13,4,3,16,1
2003,139,1268,77,"N",0,30,58,3,13,14,17,7,32,19,8,2,6,21,1
2003,139,1277,68,"N",0,25,45,6,16,12,18,9,21,15,10,5,0,18,1
2003,139,1338,74,"N",0,25,47,4,9,20,28,10,21,15,11,9,1,14,1
2003,139,1393,68,"N",0,26,57,5,12,11,18,5,33,16,17,11,9,19,1
2003,139,1400,77,"N",0,25,62,5,11,22,26,13,27,8,13,4,0,21,1
2003,143,1112,88,"N",0,36,76,7,14,9,11,14,30,19,10,12,5,17,1
2003,143,1242,69,"N",0,29,67,1,12,10,17,18,29,14,17,4,5,16,1
2003,143,1246,63,"N",0,24,49,1,5,14,24,12,21,9,14,10,4,17,1
2003,143,1266,77,"N",0,28,54,6,12,15,22,10,18,16,10,7,3,18,1
2003,144,1277,60,"N",0,22,56,6,17,10,12,11,26,10,18,8,3,20,1
2003,144,1328,65,"N",0,27,55,4,10,7,12,19,20,15,13,6,1,18,1
2003,144,1393,79,"N",0,29,66,5,14,16,21,15,21,14,10,9,7,17,1
2003,144,1400,82,"N",0,24,69,5,18,29,36,21,31,13,10,5,5,21,1
2003,145,1242,78,"N",0,29,67,8,26,12,18,15,22,16,15,13,5,20,1
2003,145,1266,83,"N",0,31,55,10,19,11,15,10,26,21,15,6,6,22,1
2003,146,1393,63,"N",0,25,48,2,12,11,19,12,28,16,24,13,2,13,1
2003,146,1400,85,"N",0,25,51,6,14,29,38,8,20,16,4,6,4,22,1
2003,152,1242,94,"N",0,38,71,8,19,10,17,19,33,22,12,8,5,15,1
2003,152,1393,95,"N",0,32,56,7,13,24,31,9,28,14,13,9,2,21,1
2003,154,1393,81,"N",0,30,63,11,18,10,17,11,25,13,17,10,7,22,1
2004,134,1197,72,"N",0,25,63,6,20,16,23,19,25,11,12,8,2,15,1
2004,136,1104,65,"N",0,24,53,7,16,10,16,11,24,7,12,7,2,7,1
2004,136,1163,70,"N",0,26,52,6,14,12,23,11,31,14,13,6,3,8,1
2004,136,1177,76,"N",2,24,59,5,13,23,40,11,38,13,11,4,3,19,1
2004,136,1181,96,"N",0,32,66,9,26,23,31,17,29,19,14,14,4,19,1
2004,136,1211,76,"N",0,29,54,3,13,15,25,10,36,19,15,6,5,14,1
2004,136,1264,75,"N",0,26,60,6,15,17,21,13,23,10,10,8,4,21,1
2004,136,1268,86,"N",0,29,59,8,18,20,31,16,21,17,14,7,6,20,1
2004,136,1305,72,"N",0,20,46,7,22,25,29,5,23,10,17,6,2,16,1
2004,136,1314,63,"N",0,22,53,4,13,15,18,14,21,12,13,10,1,15,1
2004,136,1371,80,"N",0,27,58,8,22,18,24,12,21,12,10,6,0,19,1
2004,136,1386,82,"N",0,27,60,8,23,20,28,10,26,16,14,15,3,17,1
2004,136,1390,71,"N",0,27,54,6,14,11,15,11,29,11,20,11,9,20,1
2004,136,1393,80,"N",0,24,46,11,16,21,28,5,18,12,7,2,4,15,1
2004,136,1400,66,"N",0,23,50,11,15,9,14,17,26,10,13,3,1,16,1
2004,136,1403,76,"N",0,29,59,4,11,14,18,14,22,17,16,7,2,16,1
2004,136,1448,79,"N",0,28,54,6,16,17,27,9,23,16,11,7,2,16,1
2004,137,1130,58,"N",0,23,44,3,4,9,11,4,21,20,8,4,3,13,1
2004,137,1153,80,"N",0,29,62,13,32,9,11,12,33,22,17,3,11,19,1
2004,137,1210,65,"N",0,25,55,6,18,9,12,8,29,10,12,4,3,14,1
2004,137,1228,72,"N",0,27,60,9,24,9,13,16,28,19,8,5,5,17,1
2004,137,1242,78,"N",0,24,39,5,12,25,40,6,35,18,25,6,8,19,1
2004,137,1246,96,"N",0,35,62,11,28,15,23,13,29,23,17,8,5,15,1
2004,137,1272,59,"N",0,23,59,9,27,4,7,14,22,16,9,3,4,15,1
2004,137,1280,85,"N",0,30,56,8,22,17,23,13,34,19,17,12,3,13,1
2004,137,1301,61,"N",0,18,49,5,17,20,24,13,24,10,15,5,0,20,1
2004,137,1329,75,"N",0,30,55,2,6,13,16,11,26,15,15,12,5,16,1
2004,137,1334,66,"N",0,24,50,6,14,12,18,7,22,17,12,7,1,11,1
2004,137,1338,53,"N",0,13,44,5,16,22,31,10,27,7,13,8,1,15,1
2004,137,1412,102,"N",0,30,65,9,26,33,44,11,26,23,12,8,2,26,1
2004,137,1435,71,"N",0,26,46,11,19,8,18,8,25,16,17,9,5,15,1
2004,137,1458,76,"N",0,25,51,8,18,18,24,11,18,14,9,7,3,11,1
2004,137,1462,80,"N",0,23,46,9,18,25,29,12,27,15,15,6,1,12,1
2004,138,1104,70,"N",0,16,43,4,19,34,44,5,24,8,8,6,8,16,1
2004,138,1163,72,"N",0,26,60,5,16,15,23,13,31,15,5,5,5,15,1
2004,138,1181,90,"N",0,26,48,4,11,34,38,11,29,16,10,3,3,18,1
2004,138,1305,91,"N",0,30,64,8,17,23,29,14,29,18,8,4,4,18,1
2004,138,1386,70,"N",0,27,57,12,31,4,5,11,20,13,13,4,0,16,1
2004,138,1393,72,"N",0,22,55,4,12,24,38,12,26,11,12,7,5,25,1
2004,138,1400,78,"N",0,27,55,5,13,19,23,9,26,10,11,6,1,19,1
2004,138,1448,84,"N",0,29,57,8,20,18,24,8,29,15,10,5,2,18,1
2004,139,1210,57,"N",0,23,51,6,18,5,6,8,16,15,17,12,1,17,1
2004,139,1228,92,"N",0,35,55,11,19,11,14,2,19,26,4,9,1,14,1
2004,139,1242,78,"N",0,29,60,5,15,15,21,15,25,17,13,11,3,15,1
2004,139,1329,70,"N",0,28,47,5,12,9,17,14,20,18,17,8,1,16,1
2004,139,1338,59,"N",0,21,59,2,10,15,19,15,25,10,9,7,3,17,1
2004,139,1412,76,"N",0,30,67,8,18,8,13,18,15,19,12,9,1,19,1
2004,139,1435,75,"N",0,23,49,10,25,19,21,10,17,15,8,4,2,13,1
2004,139,1462,89,"N",0,30,55,13,19,16,23,6,32,14,13,3,9,14,1
2004,143,1104,80,"N",0,26,52,9,22,19,23,10,17,22,9,11,6,17,1
2004,143,1163,73,"N",0,27,51,6,17,13,15,11,33,14,18,6,4,10,1
2004,143,1329,63,"N",0,22,45,4,8,15,16,6,24,13,10,6,5,16,1
2004,143,1386,84,"N",0,29,58,12,24,14,23,10,20,15,11,8,4,21,1
2004,144,1181,72,"N",0,28,51,6,18,10,15,5,24,19,13,10,5,14,1
2004,144,1210,72,"N",0,27,63,6,18,12,22,13,36,10,16,9,5,22,1
2004,144,1242,100,"N",0,30,56,4,10,36,44,10,35,21,17,9,3,19,1
2004,144,1462,79,"N",0,23,58,8,25,25,35,16,23,13,7,6,3,20,1
2004,145,1163,87,"N",0,29,60,10,17,19,29,15,25,17,7,3,7,18,1
2004,145,1329,64,"N",0,25,53,4,17,10,15,12,30,13,13,2,6,16,1
2004,146,1181,66,"N",0,21,54,8,20,16,20,10,29,15,11,6,7,23,1
2004,146,1210,79,"N",1,25,56,3,16,26,34,11,30,14,12,13,3,17,1
2004,152,1163,79,"N",0,26,52,6,11,21,32,13,31,9,18,5,6,20,1
2004,152,1210,67,"N",0,24,49,7,17,12,16,7,22,16,12,7,4,19,1
2004,154,1163,82,"N",0,26,61,5,17,25,39,18,32,10,16,5,2,18,1
2005,134,1324,79,"N",0,29,57,7,15,14,20,14,29,14,17,2,2,14,1
2005,136,1112,66,"N",0,23,49,6,14,14,18,9,24,9,11,3,6,12,1
2005,136,1130,85,"N",0,30,52,8,12,17,25,8,33,24,19,8,6,14,1
2005,136,1153,76,"N",0,27,57,9,18,13,22,9,27,18,8,5,8,19,1
2005,136,1211,74,"N",0,27,59,5,16,15,22,11,29,13,10,5,5,14,1
2005,136,1228,67,"N",0,23,54,6,21,15,21,8,22,16,8,8,2,13,1
2005,136,1246,72,"N",0,26,51,2,11,18,26,9,22,11,14,9,4,11,1
2005,136,1305,61,"N",0,23,62,3,14,12,18,16,33,11,8,4,7,14,1
2005,136,1328,84,"N",0,34,74,3,13,13,15,14,34,16,14,9,3,14,1
2005,136,1334,79,"N",0,26,55,10,20,17,23,10,25,15,12,2,1,18,1
2005,136,1403,78,"N",0,32,52,3,7,11,16,4,28,21,14,7,2,14,1
2005,136,1412,82,"N",0,27,59,7,16,21,36,11,24,15,15,8,2,23,1
2005,136,1428,60,"N",0,21,49,6,24,12,20,15,25,15,18,7,4,13,1
2005,136,1448,70,"N",0,24,58,8,28,14,21,15,22,16,15,10,2,12,1
2005,136,1449,88,"N",0,32,58,9,19,15,22,9,23,19,16,9,1,14,1
2005,136,1452,63,"N",0,22,46,8,20,11,13,8,21,19,16,12,4,15,1
2005,136,1454,83,"N",0,26,50,12,21,19,28,8,14,20,7,6,1,18,1
2005,137,1137,64,"N",0,22,55,8,31,12,16,9,21,17,9,10,1,21,1
2005,137,1163,77,"N",0,29,58,3,6,16,25,14,29,17,13,7,6,13,1
2005,137,1181,57,"N",0,16,39,6,20,19,29,5,27,9,8,5,6,15,1
2005,137,1196,67,"N",0,21,54,7,23,18,19,11,21,15,16,11,8,21,1
2005,137,1210,80,"N",0,28,56,7,16,17,22,10,32,11,17,10,3,22,1
2005,137,1235,64,"N",0,25,57,2,8,12,19,15,24,11,13,12,8,17,1
2005,137,1257,68,"N",0,22,57,6,22,18,27,16,20,12,11,5,2,19,1
2005,137,1277,89,"N",0,29,51,3,14,28,36,5,25,11,13,9,1,22,1
2005,137,1280,93,"N",0,32,57,9,17,20,26,10,29,13,9,3,6,19,1
2005,137,1301,75,"N",0,26,59,4,19,19,22,11,22,14,16,14,8,10,1
2005,137,1314,96,"N",0,37,58,12,19,10,19,15,24,27,15,9,3,13,1
2005,137,1329,63,"N",0,18,37,4,7,23,29,8,22,13,17,11,1,13,1
2005,137,1356,65,"N",0,25,61,4,12,11,14,12,21,12,10,8,2,22,1
2005,137,1436,60,"N",1,22,59,7,21,9,11,13,17,14,16,10,0,12,1
2005,137,1437,55,"N",0,15,53,8,29,17,24,18,29,9,20,12,4,15,1
2005,137,1458,57,"N",0,20,48,11,26,6,10,5,25,14,8,3,2,13,1
2005,138,1112,85,"N",0,30,57,7,22,18,23,11,28,16,16,7,7,14,1
2005,138,1228,71,"N",0,26,49,2,12,17,20,6,26,18,16,9,3,18,1
2005,138,1246,69,"N",0,25,49,7,12,12,18,7,29,16,15,7,5,17,1
2005,138,1403,71,"N",0,29,59,4,11,9,16,8,24,18,7,7,1,14,1
2005,138,1428,67,"N",0,22,37,5,8,18,28,9,30,15,20,2,2,19,1
2005,138,1449,97,"N",0,36,64,9,23,16,19,12,23,17,7,2,3,20,1
2005,138,1452,111,"N",2,37,70,7,21,30,39,10,25,20,11,5,5,26,1
2005,138,1454,83,"N",0,26,55,11,24,20,22,10,16,17,16,11,5,26,1
2005,139,1181,63,"N",0,19,50,8,21,17,21,13,30,8,16,8,6,22,1
2005,139,1257,76,"N",0,22,42,10,21,22,28,9,28,10,11,1,7,15,1
2005,139,1277,72,"N",0,27,56,2,12,16,22,12,27,12,9,4,4,16,1
2005,139,1301,65,"N",0,20,50,10,20,15,17,7,19,13,13,10,4,18,1
2005,139,1314,92,"N",0,31,65,8,25,22,37,15,35,20,13,14,4,18,1
2005,139,1329,85,"N",0,25,46,6,12,29,33,8,22,18,14,3,0,23,1
2005,139,1437,76,"N",0,24,58,3,11,25,35,17,27,10,14,11,4,23,1
2005,139,1458,71,"N",0,21,46,7,17,22,29,8,22,14,7,5,1,12,1
2005,143,1112,79,"N",0,31,47,7,14,10,17,8,23,17,14,3,5,17,1
2005,143,1228,77,"N",0,28,57,9,20,12,15,8,25,20,9,7,2,20,1
2005,143,1257,93,"N",0,31,56,11,26,20,28,10,34,17,17,8,4,18,1
2005,143,1452,65,"N",0,24,51,9,22,8,13,11,20,14,18,5,3,15,1
2005,144,1246,62,"N",0,24,39,4,13,10,19,4,21,10,14,6,2,25,1
2005,144,1277,78,"N",0,27,65,5,14,19,23,16,22,12,16,13,0,22,1
2005,144,1314,67,"N",0,20,48,8,19,19,24,12,30,11,17,3,3,24,1
2005,144,1458,65,"N",0,21,42,4,10,19,25,4,31,7,18,2,0,14,1
2005,145,1228,90,"N",1,32,71,16,35,10,15,14,18,21,13,12,2,18,1
2005,145,1257,93,"N",1,32,58,11,28,18,29,15,19,19,11,8,4,18,1
2005,146,1277,94,"N",2,30,64,10,19,24,30,17,23,15,13,6,3,20,1
2005,146,1314,88,"N",0,34,64,5,16,15,18,12,21,19,9,5,5,15,1
2005,152,1228,72,"N",0,27,56,12,30,6,8,10,28,21,7,4,0,12,1
2005,152,1314,87,"N",0,35,71,6,20,11,17,13,38,18,13,5,6,17,1
2005,154,1314,75,"N",0,27,52,9,16,12,19,8,26,12,10,4,2,13,1
2006,134,1284,71,"N",0,27,61,10,26,7,9,7,31,21,9,2,10,11,1
2006,136,1104,90,"N",0,28,55,12,23,22,31,16,16,15,14,4,3,17,1
2006,136,1130,88,"N",2,29,57,6,23,24,29,7,23,22,8,12,2,16,1
2006,136,1181,70,"N",0,24,49,5,15,17,20,9,26,15,20,9,8,11,1
2006,136,1196,76,"N",0,29,59,10,25,8,10,8,31,21,11,8,7,9,1
2006,136,1203,88,"N",1,31,66,10,22,16,22,15,19,16,10,6,1,20,1
2006,136,1211,79,"N",0,26,50,6,12,21,27,8,25,11,10,4,4,25,1
2006,136,1228,78,"N",0,29,50,8,22,12,14,7,21,17,11,6,1,17,1
2006,136,1231,87,"N",0,35,71,8,26,9,16,15,16,14,9,11,0,16,1
2006,136,1261,80,"N",0,27,51,5,10,21,27,9,30,16,18,8,11,17,1
2006,136,1285,87,"N",0,29,56,6,12,23,27,10,22,18,8,2,2,12,1
2006,136,1397,63,"N",0,24,53,5,21,10,14,11,22,12,13,6,6,15,1
2006,136,1401,66,"N",0,20,56,7,20,19,22,14,24,14,10,8,5,19,1
2006,136,1417,78,"N",0,30,56,4,13,14,17,9,36,20,14,11,4,14,1
2006,136,1449,75,"N",0,28,59,12,27,7,8,5,17,16,7,11,1,14,1
2006,136,1454,82,"N",0,25,55,6,20,26,32,10,22,13,12,8,1,15,1
2006,136,1455,86,"N",0,27,57,10,22,22,32,14,30,19,15,6,3,20,1
2006,137,1112,94,"N",0,35,59,5,10,19,23,11,25,19,9,9,6,19,1
2006,137,1133,77,"N",0,23,52,11,21,20,32,11,24,17,16,6,1,17,1
2006,137,1137,59,"N",0,17,44,11,21,14,18,8,21,10,14,10,2,17,1
2006,137,1163,72,"N",0,27,46,8,16,10,13,7,21,17,16,6,5,9,1
2006,137,1206,75,"N",0,29,49,5,12,12,26,10,30,7,14,4,6,10,1
2006,137,1207,54,"N",0,20,46,5,19,9,14,8,24,15,9,4,4,12,1
2006,137,1246,69,"N",0,19,61,5,25,26,30,20,27,12,8,2,3,16,1
2006,137,1272,94,"N",0,37,61,11,22,9,16,12,21,16,13,10,2,21,1
2006,137,1301,58,"N",0,21,42,5,16,11,17,7,18,10,11,5,1,15,1
2006,137,1314,69,"N",0,22,48,5,18,20,25,12,25,15,17,10,3,12,1
2006,137,1322,64,"N",0,23,60,9,23,9,14,14,17,17,11,9,4,21,1
2006,137,1326,70,"N",0,26,65,5,22,13,23,15,28,10,4,2,4,13,1
2006,137,1338,79,"N",0,31,46,6,14,11,15,4,24,18,12,4,7,13,1
2006,137,1400,60,"N",0,18,45,2,10,22,26,14,28,7,11,4,6,14,1
2006,137,1437,58,"N",0,16,52,7,25,19,23,15,25,7,13,13,1,17,1
2006,137,1452,64,"N",0,22,50,11,32,9,11,9,22,15,11,8,3,10,1
2006,138,1130,69,"N",0,27,63,8,17,7,9,15,29,16,8,2,9,11,1
2006,138,1181,74,"N",0,21,44,6,16,26,37,9,30,12,18,4,10,15,1
2006,138,1196,82,"N",0,30,56,8,20,14,19,10,31,17,10,6,7,19,1
2006,138,1211,90,"N",0,28,61,2,11,32,41,14,27,13,7,9,2,14,1
2006,138,1261,58,"N",0,19,54,2,12,18,23,12,23,5,13,4,6,12,1
2006,138,1417,62,"N",0,24,47,9,25,5,13,7,14,17,11,5,4,20,1
2006,138,1449,67,"N",0,17,45,5,15,28,39,8,27,8,11,5,5,17,1
2006,138,1455,80,"N",0,24,48,9,15,23,29,9,25,16,13,3,2,12,1
2006,139,1133,72,"N",0,22,59,2,6,26,32,16,24,14,8,8,2,16,1
2006,139,1163,87,"N",0,31,62,4,13,21,30,13,22,16,12,7,1,16,1
2006,139,1206,65,"N",0,23,58,4,16,15,19,11,27,14,8,7,2,8,1
2006,139,1207,70,"N",0,27,58,6,14,10,12,12,25,18,8,6,5,10,1
2006,139,1272,72,"N",0,23,48,7,16,19,26,7,18,15,9,10,2,20,1
2006,139,1400,75,"N",0,26,56,8,19,15,19,9,29,17,10,8,3,14,1
2006,139,1437,82,"N",0,28,52,9,19,17,20,12,19,13,13,6,4,19,1
2006,139,1452,67,"N",0,18,46,7,22,24,33,8,20,11,14,13,2,15,1
2006,143,1261,62,"N",0,24,61,2,7,12,23,16,29,14,15,7,9,16,1
2006,143,1272,80,"N",0,31,60,6,15,12,18,11,30,11,13,10,7,18,1
2006,143,1400,74,"N",0,28,58,4,19,14,20,17,28,19,13,8,1,12,1
2006,143,1417,73,"N",0,23,57,6,21,21,30,12,20,12,10,5,4,22,1
2006,144,1163,98,"N",1,27,51,10,19,34,47,10,32,15,26,7,5,20,1
2006,144,1196,57,"N",0,19,45,5,13,14,17,9,22,7,12,4,8,14,1
2006,144,1206,63,"N",0,20,44,8,16,15,23,2,30,12,9,5,5,16,1
2006,144,1437,60,"N",1,21,60,4,19,14,20,15,21,9,11,11,2,21,1
2006,145,1261,70,"N",1,28,66,3,18,11,16,9,33,18,10,8,7,13,1
2006,145,1417,50,"N",0,14,40,2,8,20,39,13,23,7,17,4,2,14,1
2006,146,1196,75,"N",0,22,54,4,17,27,31,19,34,14,16,2,8,22,1
2006,146,1206,86,"N",1,30,60,9,18,17,25,15,22,13,11,6,2,17,1
2006,152,1196,73,"N",0,23,53,12,25,15,19,16,24,8,15,5,4,12,1
2006,152,1417,59,"N",0,21,51,5,18,12,17,15,27,10,17,10,5,24,1
2006,154,1196,73,"N",0,26,58,6,19,15,20,9,26,21,6,7,10,13,1
2007,134,1310,77,"N",0,24,62,8,27,21,28,17,25,10,11,5,2,17,1
2007,136,1130,84,"N",0,30,57,8,20,16,20,11,24,16,8,3,9,10,1
2007,136,1139,57,"N",0,19,46,9,24,10,16,9,26,11,11,6,3,15,1
2007,136,1207,80,"N",0,29,53,7,16,15,20,12,27,17,12,9,4,16,1
2007,136,1231,70,"N",0,23,58,9,25,15,16,12,33,15,13,3,2,14,1
2007,136,1257,78,"N",0,25,51,7,17,21,28,8,18,12,13,11,1,25,1
2007,136,1268,82,"N",0,31,68,6,17,14,19,19,35,19,22,8,4,15,1
2007,136,1277,61,"N",0,22,41,4,10,13,15,4,24,17,15,6,3,18,1
2007,136,1314,86,"N",0,37,57,6,13,6,11,11,27,24,22,7,6,8,1
2007,136,1326,78,"N",0,28,54,11,20,11,18,9,26,14,10,5,2,5,1
2007,136,1338,79,"N",0,30,55,10,21,9,14,8,36,21,17,3,7,12,1
2007,136,1401,68,"N",0,24,51,5,13,15,27,11,29,10,8,4,5,13,1
2007,136,1417,70,"N",0,27,58,10,19,6,9,13,22,18,13,6,5,18,1
2007,136,1433,79,"N",0,26,61,9,16,18,24,14,17,14,11,13,1,26,1
2007,136,1435,77,"N",0,26,61,12,31,13,16,15,26,22,11,6,3,22,1
2007,136,1450,70,"N",0,27,57,5,13,11,12,11,25,12,6,3,8,16,1
2007,136,1462,79,"N",0,24,56,8,17,23,29,13,24,12,10,3,4,19,1
2007,137,1196,112,"N",0,43,73,10,28,16,27,24,38,27,12,5,6,13,1
2007,137,1242,107,"N",0,40,74,13,22,14,26,13,37,29,12,14,7,26,1
2007,137,1246,67,"N",0,20,44,5,19,22,31,10,27,12,11,5,5,18,1
2007,137,1272,73,"N",0,25,62,4,16,19,27,20,25,12,16,6,8,19,1
2007,137,1305,77,"N",1,28,62,7,20,14,17,15,33,16,19,2,9,16,1
2007,137,1332,58,"N",0,19,44,5,16,15,17,4,20,10,5,3,1,12,1
